source,target,weight
BuzzFeed_Fake_24,BuzzFeed_Fake_39,4
BuzzFeed_Fake_24,BuzzFeed_Fake_32,2
BuzzFeed_Fake_89,BuzzFeed_Real_46,4
BuzzFeed_Fake_89,BuzzFeed_Fake_21,18
BuzzFeed_Fake_89,BuzzFeed_Real_30,1
BuzzFeed_Fake_14,BuzzFeed_Fake_65,1
BuzzFeed_Fake_14,BuzzFeed_Fake_22,8
BuzzFeed_Fake_14,BuzzFeed_Fake_27,1
BuzzFeed_Fake_35,BuzzFeed_Fake_45,10
BuzzFeed_Fake_35,BuzzFeed_Fake_81,2
BuzzFeed_Fake_35,BuzzFeed_Fake_36,4
BuzzFeed_Fake_49,BuzzFeed_Fake_25,3
BuzzFeed_Fake_49,BuzzFeed_Real_8,3
BuzzFeed_Fake_49,BuzzFeed_Real_24,1
BuzzFeed_Fake_77,BuzzFeed_Fake_45,7
BuzzFeed_Fake_77,BuzzFeed_Real_46,2
BuzzFeed_Fake_77,BuzzFeed_Real_44,2
BuzzFeed_Fake_77,BuzzFeed_Fake_16,7
BuzzFeed_Fake_77,BuzzFeed_Real_13,2
BuzzFeed_Fake_77,BuzzFeed_Fake_86,1
BuzzFeed_Real_32,BuzzFeed_Real_12,5
BuzzFeed_Real_32,BuzzFeed_Real_14,1
BuzzFeed_Real_32,BuzzFeed_Real_47,1
BuzzFeed_Fake_2,BuzzFeed_Fake_51,18
BuzzFeed_Fake_2,BuzzFeed_Fake_52,7
BuzzFeed_Fake_2,BuzzFeed_Fake_25,3
BuzzFeed_Fake_2,BuzzFeed_Real_84,1
BuzzFeed_Fake_80,BuzzFeed_Real_5,2
BuzzFeed_Fake_80,BuzzFeed_Fake_31,19
BuzzFeed_Fake_80,BuzzFeed_Real_19,1
BuzzFeed_Fake_80,BuzzFeed_Real_42,1
BuzzFeed_Fake_80,BuzzFeed_Fake_3,1
BuzzFeed_Real_43,BuzzFeed_Fake_13,2
BuzzFeed_Fake_4,BuzzFeed_Fake_31,25
BuzzFeed_Fake_4,BuzzFeed_Fake_52,9
BuzzFeed_Fake_4,BuzzFeed_Fake_81,5
BuzzFeed_Fake_4,BuzzFeed_Fake_11,9
BuzzFeed_Fake_4,BuzzFeed_Real_47,1
BuzzFeed_Fake_4,BuzzFeed_Real_88,1
BuzzFeed_Fake_9,BuzzFeed_Real_47,1
BuzzFeed_Fake_22,BuzzFeed_Fake_71,5
BuzzFeed_Fake_22,BuzzFeed_Fake_13,6
BuzzFeed_Fake_34,BuzzFeed_Real_89,1
BuzzFeed_Fake_34,BuzzFeed_Fake_16,7
BuzzFeed_Fake_34,BuzzFeed_Real_8,2
BuzzFeed_Fake_34,BuzzFeed_Real_44,2
BuzzFeed_Fake_45,BuzzFeed_Real_89,1
BuzzFeed_Fake_51,BuzzFeed_Fake_36,1
BuzzFeed_Fake_51,BuzzFeed_Real_58,3
BuzzFeed_Fake_57,BuzzFeed_Fake_19,9
BuzzFeed_Fake_57,BuzzFeed_Real_6,1
BuzzFeed_Fake_57,BuzzFeed_Fake_30,1
BuzzFeed_Fake_72,BuzzFeed_Fake_13,1
BuzzFeed_Fake_78,BuzzFeed_Fake_16,3
BuzzFeed_Fake_81,BuzzFeed_Fake_52,1
BuzzFeed_Fake_81,BuzzFeed_Fake_88,13
BuzzFeed_Fake_84,BuzzFeed_Real_72,2
BuzzFeed_Fake_84,BuzzFeed_Real_36,7
BuzzFeed_Fake_84,BuzzFeed_Fake_67,8
BuzzFeed_Fake_84,BuzzFeed_Real_18,1
BuzzFeed_Fake_84,BuzzFeed_Real_8,1
BuzzFeed_Real_91,BuzzFeed_Real_59,9
BuzzFeed_Real_91,BuzzFeed_Fake_39,1
BuzzFeed_Real_91,BuzzFeed_Real_23,6
BuzzFeed_Real_91,BuzzFeed_Real_5,3
BuzzFeed_Real_91,BuzzFeed_Real_12,4
BuzzFeed_Real_91,BuzzFeed_Real_53,1
BuzzFeed_Fake_13,BuzzFeed_Fake_18,1
BuzzFeed_Fake_39,BuzzFeed_Fake_6,1
BuzzFeed_Fake_39,BuzzFeed_Fake_42,1
BuzzFeed_Fake_48,BuzzFeed_Real_72,1
BuzzFeed_Fake_48,BuzzFeed_Real_58,2
BuzzFeed_Fake_50,BuzzFeed_Real_29,1
BuzzFeed_Fake_50,BuzzFeed_Fake_5,1
BuzzFeed_Fake_50,BuzzFeed_Fake_29,1
BuzzFeed_Fake_16,BuzzFeed_Fake_15,7
BuzzFeed_Fake_18,BuzzFeed_Fake_15,22
BuzzFeed_Fake_19,BuzzFeed_Real_89,1
BuzzFeed_Fake_19,BuzzFeed_Real_77,1
BuzzFeed_Fake_19,BuzzFeed_Fake_17,1
BuzzFeed_Real_89,BuzzFeed_Fake_90,2
BuzzFeed_Real_89,BuzzFeed_Real_66,1
BuzzFeed_Fake_47,BuzzFeed_Fake_52,10
BuzzFeed_Fake_47,BuzzFeed_Real_68,1
BuzzFeed_Fake_47,BuzzFeed_Real_28,1
BuzzFeed_Fake_47,BuzzFeed_Fake_86,2
BuzzFeed_Real_58,BuzzFeed_Fake_52,4
BuzzFeed_Real_58,BuzzFeed_Fake_67,5
BuzzFeed_Real_58,BuzzFeed_Fake_85,6
BuzzFeed_Real_58,BuzzFeed_Fake_79,3
BuzzFeed_Fake_11,BuzzFeed_Fake_6,3
BuzzFeed_Fake_20,BuzzFeed_Fake_26,1
BuzzFeed_Fake_90,BuzzFeed_Real_20,1
BuzzFeed_Fake_90,BuzzFeed_Fake_56,4
BuzzFeed_Fake_90,BuzzFeed_Fake_73,1
BuzzFeed_Fake_36,BuzzFeed_Real_49,1
BuzzFeed_Fake_56,BuzzFeed_Real_41,1
BuzzFeed_Fake_56,BuzzFeed_Real_18,1
BuzzFeed_Fake_41,BuzzFeed_Fake_21,1
BuzzFeed_Real_84,BuzzFeed_Real_72,8
BuzzFeed_Real_84,BuzzFeed_Real_10,3
BuzzFeed_Real_84,BuzzFeed_Real_6,8
BuzzFeed_Real_84,BuzzFeed_Real_80,1
BuzzFeed_Fake_52,BuzzFeed_Fake_5,1
BuzzFeed_Fake_54,BuzzFeed_Fake_40,1
BuzzFeed_Fake_28,BuzzFeed_Real_88,1
BuzzFeed_Fake_69,BuzzFeed_Real_45,3
BuzzFeed_Fake_69,BuzzFeed_Real_72,1
BuzzFeed_Real_72,BuzzFeed_Real_51,3
BuzzFeed_Real_77,BuzzFeed_Real_41,26
BuzzFeed_Real_77,BuzzFeed_Real_56,1
BuzzFeed_Real_28,BuzzFeed_Fake_21,3
BuzzFeed_Fake_21,BuzzFeed_Fake_5,4
BuzzFeed_Fake_21,BuzzFeed_Real_1,1
BuzzFeed_Fake_21,BuzzFeed_Real_8,1
BuzzFeed_Fake_29,BuzzFeed_Real_42,2
BuzzFeed_Fake_5,BuzzFeed_Real_45,3
BuzzFeed_Fake_5,BuzzFeed_Real_6,2
BuzzFeed_Fake_5,BuzzFeed_Real_78,1
BuzzFeed_Real_3,BuzzFeed_Real_45,7
BuzzFeed_Real_3,BuzzFeed_Real_57,35
BuzzFeed_Real_3,BuzzFeed_Real_81,2
BuzzFeed_Real_3,BuzzFeed_Real_83,1
BuzzFeed_Real_7,BuzzFeed_Real_50,17
BuzzFeed_Real_7,BuzzFeed_Real_15,2
BuzzFeed_Real_7,BuzzFeed_Real_23,10
BuzzFeed_Real_7,BuzzFeed_Real_18,1
BuzzFeed_Real_7,BuzzFeed_Real_37,1
BuzzFeed_Real_15,BuzzFeed_Real_30,1
BuzzFeed_Real_15,BuzzFeed_Real_65,1
BuzzFeed_Real_15,BuzzFeed_Real_81,2
BuzzFeed_Real_44,BuzzFeed_Real_23,8
BuzzFeed_Real_44,BuzzFeed_Real_65,2
BuzzFeed_Real_46,BuzzFeed_Real_66,6
BuzzFeed_Real_46,BuzzFeed_Real_2,4
BuzzFeed_Real_50,BuzzFeed_Real_65,1
BuzzFeed_Real_66,BuzzFeed_Real_19,3
BuzzFeed_Real_66,BuzzFeed_Real_69,2
BuzzFeed_Real_66,BuzzFeed_Real_83,3
BuzzFeed_Real_86,BuzzFeed_Real_57,39
BuzzFeed_Real_86,BuzzFeed_Real_78,1
BuzzFeed_Real_86,BuzzFeed_Real_25,1
BuzzFeed_Real_86,BuzzFeed_Real_65,1
BuzzFeed_Real_6,BuzzFeed_Real_80,9
BuzzFeed_Real_6,BuzzFeed_Real_34,4
BuzzFeed_Real_6,BuzzFeed_Fake_91,1
BuzzFeed_Real_73,BuzzFeed_Real_42,66
BuzzFeed_Real_73,BuzzFeed_Real_31,3
BuzzFeed_Real_73,BuzzFeed_Real_18,5
BuzzFeed_Real_73,BuzzFeed_Real_25,1
BuzzFeed_Real_65,BuzzFeed_Real_52,2
BuzzFeed_Real_65,BuzzFeed_Real_27,8
BuzzFeed_Real_87,BuzzFeed_Real_18,27
BuzzFeed_Real_87,BuzzFeed_Fake_76,3
BuzzFeed_Fake_62,BuzzFeed_Fake_64,7
BuzzFeed_Fake_62,BuzzFeed_Real_13,1
BuzzFeed_Real_18,BuzzFeed_Real_12,4
BuzzFeed_Real_19,BuzzFeed_Real_71,1
BuzzFeed_Real_20,BuzzFeed_Real_42,11
BuzzFeed_Real_20,BuzzFeed_Real_57,2
BuzzFeed_Real_20,BuzzFeed_Real_62,4
BuzzFeed_Real_25,BuzzFeed_Real_34,1
BuzzFeed_Real_29,BuzzFeed_Real_17,1
BuzzFeed_Real_29,BuzzFeed_Real_81,9
BuzzFeed_Real_30,BuzzFeed_Real_64,3
BuzzFeed_Real_37,BuzzFeed_Real_42,6
BuzzFeed_Real_37,BuzzFeed_Real_57,2
BuzzFeed_Real_37,BuzzFeed_Real_69,3
BuzzFeed_Real_78,BuzzFeed_Real_10,8
BuzzFeed_Real_78,BuzzFeed_Real_41,7
BuzzFeed_Fake_6,BuzzFeed_Real_24,1
BuzzFeed_Real_1,BuzzFeed_Real_24,1
BuzzFeed_Real_45,BuzzFeed_Real_62,3
BuzzFeed_Real_45,BuzzFeed_Real_83,5
BuzzFeed_Real_45,BuzzFeed_Real_81,4
BuzzFeed_Fake_86,BuzzFeed_Fake_74,5
BuzzFeed_Real_68,BuzzFeed_Real_71,1
BuzzFeed_Real_68,BuzzFeed_Real_34,1
BuzzFeed_Real_68,BuzzFeed_Real_81,9
BuzzFeed_Real_13,BuzzFeed_Real_10,16
BuzzFeed_Real_13,BuzzFeed_Real_80,7
BuzzFeed_Real_13,BuzzFeed_Real_67,5
BuzzFeed_Real_13,BuzzFeed_Real_48,2
BuzzFeed_Real_42,BuzzFeed_Real_51,48
BuzzFeed_Real_42,BuzzFeed_Real_40,1
BuzzFeed_Real_10,BuzzFeed_Real_83,5
BuzzFeed_Real_10,BuzzFeed_Real_9,4
BuzzFeed_Real_11,BuzzFeed_Real_36,7
BuzzFeed_Fake_70,BuzzFeed_Fake_79,7
BuzzFeed_Fake_88,BuzzFeed_Fake_74,7
BuzzFeed_Fake_91,BuzzFeed_Real_33,9
BuzzFeed_Real_34,BuzzFeed_Real_80,32
