source,target,weight
BuzzFeed_Fake_24,BuzzFeed_Fake_89,28
BuzzFeed_Fake_24,BuzzFeed_Fake_35,24
BuzzFeed_Fake_24,BuzzFeed_Real_32,8
BuzzFeed_Fake_24,BuzzFeed_Fake_2,41
BuzzFeed_Fake_24,BuzzFeed_Fake_22,9
BuzzFeed_Fake_24,BuzzFeed_Fake_31,11
BuzzFeed_Fake_24,BuzzFeed_Fake_34,13
BuzzFeed_Fake_24,BuzzFeed_Fake_45,6
BuzzFeed_Fake_24,BuzzFeed_Fake_51,10
BuzzFeed_Fake_24,BuzzFeed_Fake_57,12
BuzzFeed_Fake_24,BuzzFeed_Fake_72,4
BuzzFeed_Fake_24,BuzzFeed_Fake_78,21
BuzzFeed_Fake_24,BuzzFeed_Fake_81,2
BuzzFeed_Fake_24,BuzzFeed_Fake_84,1
BuzzFeed_Fake_24,BuzzFeed_Real_91,4
BuzzFeed_Fake_24,BuzzFeed_Fake_39,4
BuzzFeed_Fake_24,BuzzFeed_Fake_50,6
BuzzFeed_Fake_24,BuzzFeed_Fake_16,3
BuzzFeed_Fake_24,BuzzFeed_Fake_18,6
BuzzFeed_Fake_24,BuzzFeed_Fake_19,7
BuzzFeed_Fake_24,BuzzFeed_Real_89,1
BuzzFeed_Fake_24,BuzzFeed_Fake_47,18
BuzzFeed_Fake_24,BuzzFeed_Fake_7,3
BuzzFeed_Fake_24,BuzzFeed_Fake_11,1
BuzzFeed_Fake_24,BuzzFeed_Fake_25,2
BuzzFeed_Fake_24,BuzzFeed_Fake_90,12
BuzzFeed_Fake_24,BuzzFeed_Fake_36,3
BuzzFeed_Fake_24,BuzzFeed_Fake_41,1
BuzzFeed_Fake_24,BuzzFeed_Fake_32,2
BuzzFeed_Fake_24,BuzzFeed_Fake_37,2
BuzzFeed_Fake_24,BuzzFeed_Fake_52,6
BuzzFeed_Fake_24,BuzzFeed_Fake_28,1
BuzzFeed_Fake_24,BuzzFeed_Fake_71,2
BuzzFeed_Fake_24,BuzzFeed_Fake_69,1
BuzzFeed_Fake_24,BuzzFeed_Real_72,1
BuzzFeed_Fake_24,BuzzFeed_Real_5,1
BuzzFeed_Fake_24,BuzzFeed_Real_28,1
BuzzFeed_Fake_24,BuzzFeed_Fake_21,1
